STEP,Dilution Factor,A280 (diluted),A280 (diluted)xdf,Protein conc. (μg/mL),Total volume (mL),Total Protein (μg),Total GFP / Total Protein
0,40,0.445,17.8,17800,2.5,44500,0.006677973
1,40,0.37,14.8,14800,1.5,22200,0.004742478
2,40,0.282,11.28,11280,0.5,5640,0.019219189
3,10,0.811,8.11,8110,1,8110,0.004885652
4,10,0.123,1.23,1230,1,1230,0.00276116
5,10,0.017,0.17,170,1,170,0.006659267
6,1,0.163,0.163,163,1,163,0.003472624
7,1,0.182,0.182,182,1,182,0.021770682
8,1,0.091,0.091,91,1,91,0.043541364
9,1,0.179,0.179,179,1,179,0.060082218
10,1,0.188,0.188,188,1,188,0.129466078
11,1,0.235,0.235,235,1,235,0.110798876
12,1,0.223,0.223,223,1,223,0.111684576
13,1,0.309,0.309,309,1,309,0.071441656
14,1,0.391,0.391,391,1,391,0.030401004
